#{"t_start": 1612728433.9437594, "env_id": null}
r,l,t
0.035139,80,2.640349
0.067821,87,4.81597
0.051293,64,6.414276
0.193263,115,9.286239
0.063095,90,11.563714
0.0135,83,14.728307
