#{"t_start": 1612728434.0212626, "env_id": null}
r,l,t
0.009662,51,1.853663
-0.068579,40,2.848051
0.215951,107,5.515689
0.072908,47,6.685939
0.05118,64,8.292944
0.118991,63,9.877047
0.078715,59,11.337526
