#{"t_start": 1612728433.946104, "env_id": null}
r,l,t
-0.011393,47,1.815696
-0.048912,68,3.520975
-0.01189,57,4.937523
0.041412,43,6.031543
0.017614,58,7.463457
0.149915,72,9.260424
0.064715,63,10.862067
0.108714,73,12.660621
-0.017006,51,14.846056
